identifier,tag,param_size,required_gb,pulls,capabilities,purposes,description
llama3,llama3:8b,8b,5.8,25.1M,,general,Meta Llama 3: The most capable openly available LLM to date
llama3,llama3:70b,70b,43.0,25.1M,,general,Meta Llama 3: The most capable openly available LLM to date
gemma4,gemma4:12b,12b,8.2,22.9M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
gemma4,gemma4:26b,26b,16.6,22.9M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
gemma4,gemma4:31b,31b,19.6,22.9M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
qwen2.5-coder,qwen2.5-coder:0.5b,0.5b,1.3,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:1.5b,1.5b,1.9,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:3b,3b,2.8,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:7b,7b,5.2,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:14b,14b,9.4,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:32b,32b,20.2,20.5M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
phi3,phi3:3.8b,3.8b,3.28,18M,,general,Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft.
phi3,phi3:14b,14b,9.4,18M,,general,Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft.
qwen3.5,qwen3.5:0.8b,0.8b,1.48,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:2b,2b,2.2,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:4b,4b,3.4,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:9b,9b,6.4,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:27b,27b,17.2,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:35b,35b,22.0,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
qwen3.5,qwen3.5:122b,122b,74.2,18M,vision|tools|thinking|cloud,general|reasoning|vision,Qwen 3.5 is a family of open-source multimodal models that delivers exceptional utility and performance.
llava,llava:7b,7b,5.2,14.6M,vision,general|vision,🌋 LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.
llava,llava:13b,13b,8.8,14.6M,vision,general|vision,🌋 LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.
llava,llava:34b,34b,21.4,14.6M,vision,general|vision,🌋 LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.
mxbai-embed-large,mxbai-embed-large,default,4.0,13.7M,,embedding,State-of-the-art large embedding model from mixedbread.ai embedding 335m
gpt-oss,gpt-oss:20b,20b,13.0,12M,tools|thinking|cloud,general|reasoning,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases."
gpt-oss,gpt-oss:120b,120b,73.0,12M,tools|thinking|cloud,general|reasoning,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases."
qwen3-coder,qwen3-coder:30b,30b,19.0,8.5M,tools,coding|general,Alibaba's performant long context models for agentic and coding tasks.
qwen3-coder,qwen3-coder:480b,480b,289.0,8.5M,tools,coding|general,Alibaba's performant long context models for agentic and coding tasks.
phi4,phi4:14b,14b,9.4,7.7M,,general,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft."
qwen,qwen:0.5b,0.5b,1.3,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:1.8b,1.8b,2.08,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:4b,4b,3.4,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:7b,7b,5.2,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:14b,14b,9.4,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:32b,32b,20.2,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:72b,72b,44.2,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
qwen,qwen:110b,110b,67.0,7.6M,,general,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters
llama2,llama2:7b,7b,5.2,7.4M,,general,Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.
llama2,llama2:13b,13b,8.8,7.4M,,general,Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.
llama2,llama2:70b,70b,43.0,7.4M,,general,Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.
gemma,gemma:2b,2b,2.2,7.3M,,general,"Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1"
gemma,gemma:7b,7b,5.2,7.3M,,general,"Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1"
glm-ocr,glm-ocr,default,4.0,7M,vision|tools,general|vision,"GLM-OCR is a multimodal OCR model for complex document understanding, built on the GLM-V encoder–decoder architecture."
qwen2,qwen2:0.5b,0.5b,1.3,6.1M,tools,general,Qwen2 is a new series of large language models from Alibaba group
qwen2,qwen2:1.5b,1.5b,1.9,6.1M,tools,general,Qwen2 is a new series of large language models from Alibaba group
qwen2,qwen2:7b,7b,5.2,6.1M,tools,general,Qwen2 is a new series of large language models from Alibaba group
qwen2,qwen2:72b,72b,44.2,6.1M,tools,general,Qwen2 is a new series of large language models from Alibaba group
bge-m3,bge-m3,default,4.0,6M,,general,"BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity. embedding 567m"
qwen3.6,qwen3.6:27b,27b,17.2,6M,vision|tools|thinking,coding|general|reasoning|vision,Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models.
qwen3.6,qwen3.6:35b,35b,22.0,6M,vision|tools|thinking,coding|general|reasoning|vision,Qwen3.6 delivers substantial upgrades in agentic coding and thinking preservation than previous Qwen models.
codellama,codellama:7b,7b,5.2,6M,,coding|general,A large language model that can use text prompts to generate and discuss code.
codellama,codellama:13b,13b,8.8,6M,,coding|general,A large language model that can use text prompts to generate and discuss code.
codellama,codellama:34b,34b,21.4,6M,,coding|general,A large language model that can use text prompts to generate and discuss code.
codellama,codellama:70b,70b,43.0,6M,,coding|general,A large language model that can use text prompts to generate and discuss code.
mistral-nemo,mistral-nemo:12b,12b,8.2,5.6M,tools,general,"A state-of-the-art 12B model with 128k context length, built by Mistral AI in collaboration with NVIDIA."
minicpm-v,minicpm-v:8b,8b,5.8,5.4M,vision,general|vision,A series of multimodal LLMs (MLLMs) designed for vision-language understanding.
tinyllama,tinyllama:1.1b,1.1b,1.66,5.4M,,general,The TinyLlama project is an open endeavor to train a compact 1.1B Llama model on 3 trillion tokens.
qwen3-vl,qwen3-vl:2b,2b,2.2,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
qwen3-vl,qwen3-vl:4b,4b,3.4,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
qwen3-vl,qwen3-vl:8b,8b,5.8,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
qwen3-vl,qwen3-vl:30b,30b,19.0,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
qwen3-vl,qwen3-vl:32b,32b,20.2,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
qwen3-vl,qwen3-vl:235b,235b,142.0,5.3M,vision|tools|thinking,general|reasoning|vision,The most powerful vision-language model in the Qwen model family to date.
llama3.2-vision,llama3.2-vision:11b,11b,7.6,5.1M,vision,general|reasoning|vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.
llama3.2-vision,llama3.2-vision:90b,90b,55.0,5.1M,vision,general|reasoning|vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.
deepseek-coder,deepseek-coder:1.3b,1.3b,1.78,4.5M,,coding|general,DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.
deepseek-coder,deepseek-coder:6.7b,6.7b,5.02,4.5M,,coding|general,DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.
deepseek-coder,deepseek-coder:33b,33b,20.8,4.5M,,coding|general,DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.
qwen2.5vl,qwen2.5vl:3b,3b,2.8,4.4M,vision,general|vision,Flagship vision-language model of Qwen and also a significant leap from the previous Qwen2-VL.
qwen2.5vl,qwen2.5vl:7b,7b,5.2,4.4M,vision,general|vision,Flagship vision-language model of Qwen and also a significant leap from the previous Qwen2-VL.
qwen2.5vl,qwen2.5vl:32b,32b,20.2,4.4M,vision,general|vision,Flagship vision-language model of Qwen and also a significant leap from the previous Qwen2-VL.
qwen2.5vl,qwen2.5vl:72b,72b,44.2,4.4M,vision,general|vision,Flagship vision-language model of Qwen and also a significant leap from the previous Qwen2-VL.
llama3.3,llama3.3:70b,70b,43.0,4.1M,tools,general,New state of the art 70B model. Llama 3.3 70B offers similar performance compared to the Llama 3.1 405B model.
dolphin3,dolphin3:8b,8b,5.8,4M,,coding|general,"Dolphin 3.0 Llama 3.1 8B 🐬 is the next generation of the Dolphin series of instruct-tuned models designed to be the ultimate general purpose local model, enabling coding, math, agentic, function calling, and general use cases."
smollm2,smollm2:1.7b,1.7b,2.02,3.9M,,general,"SmolLM2 is a family of compact language models available in three size: 135M, 360M, and 1.7B parameters. tools 135m 360m"
deepseek-v3,deepseek-v3:671b,671b,403.6,3.8M,,general,A strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.
olmo2,olmo2:7b,7b,5.2,3.7M,,general,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks."
olmo2,olmo2:13b,13b,8.8,3.7M,,general,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks."
qwen3-embedding,qwen3-embedding:0.6b,0.6b,1.36,3.7M,embedding,embedding,"Building upon the foundational models of the Qwen3 series, Qwen3 Embedding provides a comprehensive range of text embeddings models in various sizes"
qwen3-embedding,qwen3-embedding:4b,4b,3.4,3.7M,embedding,embedding,"Building upon the foundational models of the Qwen3 series, Qwen3 Embedding provides a comprehensive range of text embeddings models in various sizes"
qwen3-embedding,qwen3-embedding:8b,8b,5.8,3.7M,embedding,embedding,"Building upon the foundational models of the Qwen3 series, Qwen3 Embedding provides a comprehensive range of text embeddings models in various sizes"
all-minilm,all-minilm,default,4.0,3.4M,,general,Embedding models on very large sentence level datasets. embedding 22m 33m
codegemma,codegemma:2b,2b,2.2,3.1M,,coding|general|reasoning,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following."
codegemma,codegemma:7b,7b,5.2,3.1M,,coding|general|reasoning,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following."
snowflake-arctic-embed,snowflake-arctic-embed,default,4.0,3.1M,,embedding,"A suite of text embedding models by Snowflake, optimized for performance. embedding 22m 33m 110m 137m 335m"
mistral-small,mistral-small:22b,22b,14.2,3.1M,tools,general,Mistral Small 3 sets a new benchmark in the “small” Large Language Models category below 70B.
mistral-small,mistral-small:24b,24b,15.4,3.1M,tools,general,Mistral Small 3 sets a new benchmark in the “small” Large Language Models category below 70B.
granite3.1-moe,granite3.1-moe:1b,1b,1.6,3M,tools,general,The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage.
granite3.1-moe,granite3.1-moe:3b,3b,2.8,3M,tools,general,The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage.
orca-mini,orca-mini:3b,3b,2.8,3M,,general,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware."
orca-mini,orca-mini:7b,7b,5.2,3M,,general,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware."
orca-mini,orca-mini:13b,13b,8.8,3M,,general,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware."
orca-mini,orca-mini:70b,70b,43.0,3M,,general,"A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware."
deepseek-coder-v2,deepseek-coder-v2:16b,16b,10.6,3M,,coding|general,An open-source Mixture-of-Experts code language model that achieves performance comparable to GPT4-Turbo in code-specific tasks.
deepseek-coder-v2,deepseek-coder-v2:236b,236b,142.6,3M,,coding|general,An open-source Mixture-of-Experts code language model that achieves performance comparable to GPT4-Turbo in code-specific tasks.
starcoder2,starcoder2:3b,3b,2.8,2.9M,,coding|general,"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters."
starcoder2,starcoder2:7b,7b,5.2,2.9M,,coding|general,"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters."
starcoder2,starcoder2:15b,15b,10.0,2.9M,,coding|general,"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters."
nemotron-3-super,nemotron-3-super:120b,120b,73.0,2.9M,tools|thinking|cloud,general|reasoning,NVIDIA Nemotron 3 Super is a 120B open MoE model activating just 12B parameters to deliver maximum compute efficiency and accuracy for complex multi-agent applications.
mixtral,mixtral:8x7b,8x7b,34.6,2.8M,tools,general,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.
mixtral,mixtral:8x22b,8x22b,106.6,2.8M,tools,general,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.
llama2-uncensored,llama2-uncensored:7b,7b,5.2,2.7M,,general,Uncensored Llama 2 model by George Sung and Jarrad Hope.
llama2-uncensored,llama2-uncensored:70b,70b,43.0,2.7M,,general,Uncensored Llama 2 model by George Sung and Jarrad Hope.
falcon3,falcon3:1b,1b,1.6,2.6M,,coding|general,"A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques."
falcon3,falcon3:3b,3b,2.8,2.6M,,coding|general,"A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques."
falcon3,falcon3:7b,7b,5.2,2.6M,,coding|general,"A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques."
falcon3,falcon3:10b,10b,7.0,2.6M,,coding|general,"A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques."
mistral-small3.2,mistral-small3.2:24b,24b,15.4,2.4M,vision|tools,general|vision,"An update to Mistral Small that improves on function calling, instruction following, and less repetition errors."
minimax-m2.7,minimax-m2.7,default,4.0,2.4M,tools|thinking|cloud,coding|general|reasoning,"MiniMax's M2-series model for coding, agentic workflows, and professional productivity."
llava-llama3,llava-llama3:8b,8b,5.8,2.3M,vision,general|vision,A LLaVA model fine-tuned from Llama 3 Instruct with better scores in several benchmarks.
glm-5.1,glm-5.1,default,4.0,2.3M,tools|thinking|cloud,coding|general|reasoning,"GLM-5.1 is our next-generation flagship model for agentic engineering, with significantly stronger coding capabilities than its predecessor. It achieves state-of-the-art performance on SWE-Bench Pro and leads GLM-5 by a wide margin."
qwq,qwq:32b,32b,20.2,2.3M,tools,general|reasoning,QwQ is the reasoning model of the Qwen series.
translategemma,translategemma:4b,4b,3.4,2.1M,vision,general|vision,"A new collection of open translation models built on Gemma 3, helping people communicate across 55 languages."
translategemma,translategemma:12b,12b,8.2,2.1M,vision,general|vision,"A new collection of open translation models built on Gemma 3, helping people communicate across 55 languages."
translategemma,translategemma:27b,27b,17.2,2.1M,vision,general|vision,"A new collection of open translation models built on Gemma 3, helping people communicate across 55 languages."
smollm,smollm:1.7b,1.7b,2.02,2.1M,,general,"🪐 A family of small models with 135M, 360M, and 1.7B parameters, trained on a new high-quality dataset. 135m 360m"
dolphin-llama3,dolphin-llama3:8b,8b,5.8,2.1M,,coding|general,"Dolphin 2.9 is a new model with 8B and 70B sizes by Eric Hartford based on Llama 3 that has a variety of instruction, conversational, and coding skills."
dolphin-llama3,dolphin-llama3:70b,70b,43.0,2.1M,,coding|general,"Dolphin 2.9 is a new model with 8B and 70B sizes by Eric Hartford based on Llama 3 that has a variety of instruction, conversational, and coding skills."
cogito,cogito:3b,3b,2.8,2.1M,tools,general|reasoning,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks."
cogito,cogito:8b,8b,5.8,2.1M,tools,general|reasoning,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks."
cogito,cogito:14b,14b,9.4,2.1M,tools,general|reasoning,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks."
cogito,cogito:32b,32b,20.2,2.1M,tools,general|reasoning,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks."
cogito,cogito:70b,70b,43.0,2.1M,tools,general|reasoning,"Cogito v1 Preview is a family of hybrid reasoning models by Deep Cogito that outperform the best available open models of the same size, including counterparts from LLaMA, DeepSeek, and Qwen across most standard benchmarks."
gemma3n,gemma3n,default,4.0,2M,,general,"Gemma 3n models are designed for efficient execution on everyday devices such as laptops, tablets or phones. e2b e4b"
qwen3-coder-next,qwen3-coder-next,default,4.0,2M,tools,coding|general,"Qwen3-Coder-Next is a coding-focused language model from Alibaba's Qwen team, optimized for agentic coding workflows and local development."
dolphin-mixtral,dolphin-mixtral:8x7b,8x7b,34.6,1.9M,,coding|general,"Uncensored, 8x7b and 8x22b fine-tuned models based on the Mixtral mixture of experts models that excels at coding tasks. Created by Eric Hartford."
dolphin-mixtral,dolphin-mixtral:8x22b,8x22b,106.6,1.9M,,coding|general,"Uncensored, 8x7b and 8x22b fine-tuned models based on the Mixtral mixture of experts models that excels at coding tasks. Created by Eric Hartford."
llama4,llama4:16x17b,16x17b,164.2,1.8M,vision|tools,general|vision,Meta's latest collection of multimodal models.
llama4,llama4:128x17b,128x17b,1306.6,1.8M,vision|tools,general|vision,Meta's latest collection of multimodal models.
embeddinggemma,embeddinggemma,default,4.0,1.8M,,embedding,EmbeddingGemma is a 300M parameter embedding model from Google. embedding 300m
phi4-reasoning,phi4-reasoning:14b,14b,9.4,1.7M,,general|reasoning,Phi 4 reasoning and reasoning plus are 14-billion parameter open-weight reasoning models that rival much larger models on complex reasoning tasks.
dolphin-mistral,dolphin-mistral:7b,7b,5.2,1.6M,,coding|general,The uncensored Dolphin model based on Mistral that excels at coding tasks. Updated to version 2.8.
moondream,moondream:1.8b,1.8b,2.08,1.6M,vision,general|vision,moondream2 is a small vision language model designed to run efficiently on edge devices.
dolphin-phi,dolphin-phi:2.7b,2.7b,2.62,1.6M,,general,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research."
hermes3,hermes3:3b,3b,2.8,1.6M,tools,general,Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research
hermes3,hermes3:8b,8b,5.8,1.6M,tools,general,Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research
hermes3,hermes3:70b,70b,43.0,1.6M,tools,general,Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research
